"country";"variable";"percentile";"year";"value";"age";"pop"
"IT";"tptincj992";"p0p15";1980;"152.5";992;"j"
"IT";"tptincj992";"p0p15";1981;"158.4";992;"j"
"IT";"tptincj992";"p0p15";1982;"156.4";992;"j"
"IT";"tptincj992";"p0p15";1983;"164";992;"j"
"IT";"tptincj992";"p0p15";1984;"168.7";992;"j"
"IT";"tptincj992";"p0p15";1985;"176.1";992;"j"
"IT";"tptincj992";"p0p15";1986;"186.1";992;"j"
"IT";"tptincj992";"p0p15";1987;"114.2";992;"j"
"IT";"tptincj992";"p0p15";1988;"122.3";992;"j"
"IT";"tptincj992";"p0p15";1989;"130.4";992;"j"
"IT";"tptincj992";"p0p15";1990;"90.7";992;"j"
"IT";"tptincj992";"p0p15";1991;"119";992;"j"
"IT";"tptincj992";"p0p15";1992;"78.80000000000001";992;"j"
"IT";"tptincj992";"p0p15";1993;"92.2";992;"j"
"IT";"tptincj992";"p0p15";1994;"51.3";992;"j"
"IT";"tptincj992";"p0p15";1995;"48.7";992;"j"
"IT";"tptincj992";"p0p15";1996;"36.7";992;"j"
"IT";"tptincj992";"p0p15";1997;"50.40000000000001";992;"j"
"IT";"tptincj992";"p0p15";1998;"31.4";992;"j"
"IT";"tptincj992";"p0p15";1999;"42.2";992;"j"
"IT";"tptincj992";"p0p15";2000;"41.2";992;"j"
"IT";"tptincj992";"p0p15";2001;"36.6";992;"j"
"IT";"tptincj992";"p0p15";2002;"40.8";992;"j"
"IT";"tptincj992";"p0p15";2003;"31.7";992;"j"
"IT";"tptincj992";"p0p15";2004;"3.8";992;"j"
"IT";"tptincj992";"p0p15";2005;"46.3";992;"j"
"IT";"tptincj992";"p0p15";2006;"47.6";992;"j"
"IT";"tptincj992";"p0p15";2007;"75.60000000000001";992;"j"
"IT";"tptincj992";"p0p15";2008;"58.7";992;"j"
"IT";"tptincj992";"p0p15";2009;"51.5";992;"j"
"IT";"tptincj992";"p0p15";2010;"43.90000000000001";992;"j"
"IT";"tptincj992";"p0p15";2011;"41.40000000000001";992;"j"
"IT";"tptincj992";"p0p15";2012;"38.2";992;"j"
"IT";"tptincj992";"p0p15";2013;"33.1";992;"j"
"IT";"tptincj992";"p0p15";2014;"26.5";992;"j"
"IT";"tptincj992";"p0p15";2015;"27";992;"j"
"IT";"tptincj992";"p0p15";2016;"54.8";992;"j"
"IT";"tptincj992";"p0p15";2017;"66.5";992;"j"
"IT";"tptincj992";"p0p15";2018;"47.8";992;"j"
"IT";"tptincj992";"p0p15";2019;"49.1";992;"j"
"IT";"tptincj992";"p0p15";2020;"48.7";992;"j"
"IT";"tptincj992";"p0p15";2021;"53.1";992;"j"
